n,p,demand,solar,carbon
1,-,1,120,35
11,1,1.111,560,28
12,1,1.111,700,45.5
13,1,1.155,560,28
14,1,1.155,700,45.5
111,11,1.234321,1120,22.4
112,11,1.234321,1400,36.4
113,11,1.283205,1120,22.4
114,11,1.283205,1400,36.4
121,12,1.234321,1120,36.4
122,12,1.234321,1400,59.15
123,12,1.283205,1120,36.4
124,12,1.283205,1400,59.15
131,13,1.283205,1120,22.4
132,13,1.283205,1400,36.4
133,13,1.334025,1120,22.4
134,13,1.334025,1400,36.4
141,14,1.283205,1120,36.4
142,14,1.283205,1400,59.15
143,14,1.334025,1120,36.4
144,14,1.334025,1400,59.15
1111,111,1.371330631,1720,17.92
1112,111,1.371330631,2150,29.12
1113,111,1.425640755,1720,17.92
1114,111,1.425640755,2150,29.12
1121,112,1.371330631,1720,29.12
1122,112,1.371330631,2150,47.32
1123,112,1.425640755,1720,29.12
1124,112,1.425640755,2150,47.32
1131,113,1.425640755,1720,17.92
1132,113,1.425640755,2150,29.12
1133,113,1.482101775,1720,17.92
1134,113,1.482101775,2150,29.12
1141,114,1.425640755,1720,29.12
1142,114,1.425640755,2150,47.32
1143,114,1.482101775,1720,29.12
1144,114,1.482101775,2150,47.32
1211,121,1.371330631,1720,29.12
1212,121,1.371330631,2150,47.32
1213,121,1.425640755,1720,29.12
1214,121,1.425640755,2150,47.32
1221,122,1.371330631,1720,47.32
1222,122,1.371330631,2150,76.895
1223,122,1.425640755,1720,47.32
1224,122,1.425640755,2150,76.895
1231,123,1.425640755,1720,29.12
1232,123,1.425640755,2150,47.32
1233,123,1.482101775,1720,29.12
1234,123,1.482101775,2150,47.32
1241,124,1.425640755,1720,47.32
1242,124,1.425640755,2150,76.895
1243,124,1.482101775,1720,47.32
1244,124,1.482101775,2150,76.895
1311,131,1.425640755,1720,17.92
1312,131,1.425640755,2150,29.12
1313,131,1.482101775,1720,17.92
1314,131,1.482101775,2150,29.12
1321,132,1.425640755,1720,29.12
1322,132,1.425640755,2150,47.32
1323,132,1.482101775,1720,29.12
1324,132,1.482101775,2150,47.32
1331,133,1.482101775,1720,17.92
1332,133,1.482101775,2150,29.12
1333,133,1.540798875,1720,17.92
1334,133,1.540798875,2150,29.12
1341,134,1.482101775,1720,29.12
1342,134,1.482101775,2150,47.32
1343,134,1.540798875,1720,29.12
1344,134,1.540798875,2150,47.32
1411,141,1.425640755,1720,29.12
1412,141,1.425640755,2150,47.32
1413,141,1.482101775,1720,29.12
1414,141,1.482101775,2150,47.32
1421,142,1.425640755,1720,47.32
1422,142,1.425640755,2150,76.895
1423,142,1.482101775,1720,47.32
1424,142,1.482101775,2150,76.895
1431,143,1.482101775,1720,29.12
1432,143,1.482101775,2150,47.32
1433,143,1.540798875,1720,29.12
1434,143,1.540798875,2150,47.32
1441,144,1.482101775,1720,47.32
1442,144,1.482101775,2150,76.895
1443,144,1.540798875,1720,47.32
1444,144,1.540798875,2150,76.895
11111,1111,1.523548331,2560,14.336
11112,1111,1.523548331,3200,23.296
11113,1111,1.583886879,2560,14.336
11114,1111,1.583886879,3200,23.296
11121,1112,1.523548331,2560,23.296
11122,1112,1.523548331,3200,37.856
11123,1112,1.583886879,2560,23.296
11124,1112,1.583886879,3200,37.856
11131,1113,1.583886879,2560,14.336
11132,1113,1.583886879,3200,23.296
11133,1113,1.646615072,2560,14.336
11134,1113,1.646615072,3200,23.296
11141,1114,1.583886879,2560,23.296
11142,1114,1.583886879,3200,37.856
11143,1114,1.646615072,2560,23.296
11144,1114,1.646615072,3200,37.856
11211,1121,1.523548331,2560,23.296
11212,1121,1.523548331,3200,37.856
11213,1121,1.583886879,2560,23.296
11214,1121,1.583886879,3200,37.856
11221,1122,1.523548331,2560,37.856
11222,1122,1.523548331,3200,61.516
11223,1122,1.583886879,2560,37.856
11224,1122,1.583886879,3200,61.516
11231,1123,1.583886879,2560,23.296
11232,1123,1.583886879,3200,37.856
11233,1123,1.646615072,2560,23.296
11234,1123,1.646615072,3200,37.856
11241,1124,1.583886879,2560,37.856
11242,1124,1.583886879,3200,61.516
11243,1124,1.646615072,2560,37.856
11244,1124,1.646615072,3200,61.516
11311,1131,1.583886879,2560,14.336
11312,1131,1.583886879,3200,23.296
11313,1131,1.646615072,2560,14.336
11314,1131,1.646615072,3200,23.296
11321,1132,1.583886879,2560,23.296
11322,1132,1.583886879,3200,37.856
11323,1132,1.646615072,2560,23.296
11324,1132,1.646615072,3200,37.856
11331,1133,1.646615072,2560,14.336
11332,1133,1.646615072,3200,23.296
11333,1133,1.71182755,2560,14.336
11334,1133,1.71182755,3200,23.296
11341,1134,1.646615072,2560,23.296
11342,1134,1.646615072,3200,37.856
11343,1134,1.71182755,2560,23.296
11344,1134,1.71182755,3200,37.856
11411,1141,1.583886879,2560,23.296
11412,1141,1.583886879,3200,37.856
11413,1141,1.646615072,2560,23.296
11414,1141,1.646615072,3200,37.856
11421,1142,1.583886879,2560,37.856
11422,1142,1.583886879,3200,61.516
11423,1142,1.646615072,2560,37.856
11424,1142,1.646615072,3200,61.516
11431,1143,1.646615072,2560,23.296
11432,1143,1.646615072,3200,37.856
11433,1143,1.71182755,2560,23.296
11434,1143,1.71182755,3200,37.856
11441,1144,1.646615072,2560,37.856
11442,1144,1.646615072,3200,61.516
11443,1144,1.71182755,2560,37.856
11444,1144,1.71182755,3200,61.516
12111,1211,1.523548331,2560,23.296
12112,1211,1.523548331,3200,37.856
12113,1211,1.583886879,2560,23.296
12114,1211,1.583886879,3200,37.856
12121,1212,1.523548331,2560,37.856
12122,1212,1.523548331,3200,61.516
12123,1212,1.583886879,2560,37.856
12124,1212,1.583886879,3200,61.516
12131,1213,1.583886879,2560,23.296
12132,1213,1.583886879,3200,37.856
12133,1213,1.646615072,2560,23.296
12134,1213,1.646615072,3200,37.856
12141,1214,1.583886879,2560,37.856
12142,1214,1.583886879,3200,61.516
12143,1214,1.646615072,2560,37.856
12144,1214,1.646615072,3200,61.516
12211,1221,1.523548331,2560,37.856
12212,1221,1.523548331,3200,61.516
12213,1221,1.583886879,2560,37.856
12214,1221,1.583886879,3200,61.516
12221,1222,1.523548331,2560,61.516
12222,1222,1.523548331,3200,99.9635
12223,1222,1.583886879,2560,61.516
12224,1222,1.583886879,3200,99.9635
12231,1223,1.583886879,2560,37.856
12232,1223,1.583886879,3200,61.516
12233,1223,1.646615072,2560,37.856
12234,1223,1.646615072,3200,61.516
12241,1224,1.583886879,2560,61.516
12242,1224,1.583886879,3200,99.9635
