n,p,demand_scale,solar_MW,carbon
1,-,1,200,35
11,1,1.155,700,40
12,1,1.1,700,40
111,11,1.33,1400,45
112,11,1.27,1400,45
121,12,1.27,1400,45
122,12,1.21,1400,45
123,12,1.2,1400,45
124,12,1.15,1400,45
1111,111,1.54,2150,50
1112,111,1.463,2150,50
1121,112,1.46685,2150,50
1122,112,1.397,2150,50
1211,121,1.46685,2150,50
1212,121,1.397,2150,50
1221,122,1.39755,2150,50
1222,122,1.4641,2150,50
1231,123,1.386,2150,50
1232,123,1.32,2150,50
1241,124,1.32825,2150,50
1242,124,1.265,2150,50
11111,1111,1.78,3200,50
11112,1111,1.694,3200,55
11121,1112,1.689765,3200,55
11122,1112,1.6093,3200,55
11211,1121,1.6942118,3200,55
11212,1121,1.613535,3200,55
11221,1122,1.613535,3200,55
11222,1122,1.5367,3200,55
12111,1211,1.6942118,3200,55
12112,1211,1.613535,3200,55
12121,1212,1.613535,3200,55
12122,1212,1.5367,3200,55
12211,1221,1.6141703,3200,55
12212,1221,1.537305,3200,55
12221,1222,1.6910355,3200,55
12222,1222,1.61051,3200,55
12311,1231,1.60083,3200,55
12312,1231,1.5246,3200,55
12321,1232,1.5246,3200,55
12322,1232,1.452,3200,55
12411,1241,1.5341288,3200,55
12412,1241,1.461075,3200,55
12421,1242,1.461075,3200,55
12422,1242,1.3915,3200,55
