Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
33,5296.855705166728,133.59,2020-02-18,Summer,0.4178712220762155,5487.24
32,5291.929661332253,183.17,2020-02-18,Summer,0.5282522996057818,5472.916
34,5260.816782908124,133.59,2020-02-18,Summer,0.4178712220762155,5506.438
20,5256.352010210628,163.87,2020-02-20,Summer,0.17082785808147172,5279.046
35,5248.12633485469,133.72,2020-02-18,Summer,0.5558475689881734,5501.516
31,5245.516637755764,133.58,2020-02-18,Summer,0.5282522996057818,5433.166
26,5240.432429578864,215.21,2020-02-20,Summer,0.469119579500657,5292.11
19,5233.6776709899395,163.91,2020-02-20,Summer,0.17082785808147172,5286.882
27,5231.241506670073,217.1,2020-02-20,Summer,0.5479632063074901,5297.18
23,5217.421079294443,222.63,2020-02-20,Summer,0.3771353482260184,5264.266
24,5210.309583864654,86.74,2020-02-18,Summer,0.33902759526938236,5365.1
25,5204.131751986693,215.21,2020-02-20,Summer,0.469119579500657,5275.618
24,5203.956775275551,170.32,2020-02-20,Summer,0.3771353482260184,5296.746
19,5198.7712227219,87.83,2020-02-18,Summer,0.14586070959264127,5334.758
29,5197.332514278831,90.49,2020-02-17,Summer,0.6609724047306176,5389.23
21,5196.009431071999,167.65,2020-02-20,Summer,0.31274638633377133,5233.098
36,5194.290575348112,121.92,2020-02-18,Summer,0.5558475689881734,5455.366
28,5189.335240085808,90.74,2020-02-17,Summer,0.4980289093298292,5376.134
23,5188.500283467779,87.06,2020-02-18,Summer,0.33902759526938236,5353.714
30,5185.760223531957,116.68,2020-02-18,Summer,0.45072273324572926,5392.038
22,5180.845308611194,87.05,2020-02-18,Summer,0.3731931668856767,5335.542
21,5178.684871704324,83.44,2020-02-18,Summer,0.3731931668856767,5321.812
32,5178.594455904411,216.37,2020-02-20,Summer,0.6793692509855453,5377.008
25,5177.702390941667,87.95,2020-02-18,Summer,0.3363994743758213,5338.772
32,5177.198859667725,118.97,2020-02-17,Summer,0.442838370565046,5492.484
36,5174.889131533825,115.61,2020-02-17,Summer,0.4954007884362681,5493.82
30,5172.735335039342,118.68,2020-02-17,Summer,0.6609724047306176,5405.504
27,5172.655924322434,89.95,2020-02-17,Summer,0.4980289093298292,5359.38
20,5169.886369838127,87.49,2020-02-18,Summer,0.14586070959264127,5304.436
18,5169.672314261269,91.25,2020-02-18,Summer,0.04204993429697766,5305.216
33,5166.009608862896,121.69,2020-02-17,Summer,0.5295663600525624,5463.492
17,5164.803741409005,89.31,2020-02-18,Summer,0.04204993429697766,5296.312
34,5156.999852280413,309.37,2020-01-21,Summer,0.8318002628120893,5253.048
29,5153.09483598709,107.33,2020-02-18,Summer,0.45072273324572926,5356.534
26,5152.029962632451,85.27,2020-02-18,Summer,0.3363994743758213,5327.53
35,5151.6661376655375,332.16,2019-12-16,Summer,0.3219448094612352,5331.184
33,5149.756084627375,267.29,2020-02-20,Summer,0.7030223390275951,5380.096
34,5149.242615979011,329.48,2019-12-16,Summer,0.29040735873850193,5316.5
34,5147.878771603023,235.55,2019-12-12,Summer,0.7266754270696452,5257.582
34,5145.911940415503,310.87,2019-12-11,Summer,0.7043363994743758,5231.132
37,5145.806483566065,116.86,2020-02-18,Summer,0.4862023653088042,5369.244
22,5144.9256252722225,221.14,2020-02-20,Summer,0.31274638633377133,5229.8
17,5138.205654601726,229.53,2020-01-21,Summer,0.03153745072273324,5179.606
18,5135.670702428803,253.88,2019-12-13,Summer,0.1445466491458607,5309.036
31,5135.041556902648,113.66,2020-02-17,Summer,0.442838370565046,5414.138
17,5133.2848348115895,258.53,2019-12-13,Summer,0.1445466491458607,5319.532
38,5132.366424124909,95.14,2020-02-18,Summer,0.4862023653088042,5325.142
35,5132.16226386055,374.67,2020-01-21,Summer,0.683311432325887,5212.502
35,5131.73478539119,172.15,2019-12-11,Summer,0.7017082785808146,5221.872
33,5129.035031456975,321.09,2019-12-11,Summer,0.7043363994743758,5224.93
33,5127.9620555055735,299.27,2019-12-12,Summer,0.7266754270696452,5257.226
32,5126.139214460163,321.52,2019-12-11,Summer,0.7674113009198422,5225.216
36,5125.390759203017,235.2,2019-12-12,Summer,0.5045992115637319,5217.778
28,5125.181194475155,215.27,2020-02-20,Summer,0.5479632063074901,5274.64
21,5123.801027645931,228.16,2020-01-21,Summer,0.1471747700394218,5182.438
36,5123.589662265504,172.15,2019-12-11,Summer,0.7017082785808146,5226.316
34,5123.043704971902,115.59,2020-02-17,Summer,0.5295663600525624,5458.14
29,5122.8028598854735,215.32,2020-02-20,Summer,0.5413929040735874,5290.694
33,5122.350342882377,324.53,2019-12-16,Summer,0.29040735873850193,5304.06
32,5120.071361915696,323.38,2019-12-16,Summer,0.2680683311432326,5294.786
36,5118.652175834036,163.41,2020-01-20,Summer,0.7135348226018396,5277.718
32,5116.710775984513,247.33,2019-12-12,Summer,0.8909329829172141,5250.112
26,5116.453472870071,89.42,2020-02-17,Summer,0.4980289093298292,5319.72
35,5115.663779986864,235.41,2019-12-12,Summer,0.5045992115637319,5215.632
36,5115.536677255643,403.79,2020-01-21,Summer,0.683311432325887,5217.932
17,5114.965264865059,130.83,2020-02-20,Summer,0.0328515111695138,5308.194
28,5114.731947548137,87.66,2020-02-18,Summer,0.42575558475689884,5324.492
27,5114.193785317934,83.62,2020-02-18,Summer,0.42575558475689884,5313.508
34,5112.053962055826,280.8,2020-02-20,Summer,0.7030223390275951,5381.36
16,5111.579764408192,116.66,2020-02-18,Summer,0.001314060446780552,5258.464
20,5108.758091564803,168.9,2020-01-21,Summer,0.09461235216819973,5160.744
30,5108.242384362337,215.33,2020-02-20,Summer,0.5413929040735874,5288.24
23,5107.50456561172,221.29,2020-01-21,Summer,0.23258869908015767,5152.912
25,5107.492067149369,86.29,2020-02-17,Summer,0.4980289093298292,5307.342
19,5107.430446009196,229.01,2020-01-21,Summer,0.09461235216819973,5177.924
22,5106.913855836659,174.38,2020-01-21,Summer,0.1471747700394218,5165.38
21,5105.998544544307,279.71,2019-12-16,Summer,0.4165571616294349,5212.756
30,5103.232312092479,319.49,2020-01-21,Summer,0.7135348226018396,5161.364
26,5102.256923627417,270.8,2020-01-21,Summer,0.33114323258869904,5139.628
27,5101.795564641915,306.97,2020-02-12,Summer,0.8475689881734558,5159.662
31,5099.531327370522,215.49,2020-02-20,Summer,0.6793692509855453,5317.252
16,5098.922676627377,251.48,2019-12-13,Summer,0.028909329829172145,5258.798
32,5097.625982347266,288.42,2020-02-14,Summer,0.5847568988173456,5212.99
35,5097.095262220345,176.4,2020-02-20,Summer,0.5873850197109067,5292.282
24,5096.641578131016,234.06,2020-01-21,Summer,0.23258869908015767,5138.074
19,5094.4317237058,192.42,2019-12-13,Summer,0.3508541392904073,5276.866
25,5093.274101156048,223.04,2020-01-21,Summer,0.33114323258869904,5134.392
31,5092.868504836807,319.63,2020-01-21,Summer,0.8817345597897502,5195.7
33,5090.181958170319,423.62,2020-01-21,Summer,0.8318002628120893,5242.406
18,5089.917086458746,107.83,2020-02-20,Summer,0.0328515111695138,5228.83
22,5089.27974771459,299.67,2019-12-16,Summer,0.4165571616294349,5211.284
33,5089.252158818988,300.68,2020-02-14,Summer,0.46649145860709595,5220.246
37,5087.99610607089,84.23,2020-02-17,Summer,0.342969776609724,5413.25
37,5085.7529890188525,156.78,2020-01-20,Summer,0.5045992115637319,5218.028
16,5082.722949092528,106.12,2020-02-20,Summer,0.001314060446780552,5266.162
36,5080.498579960582,164.09,2020-02-20,Summer,0.5873850197109067,5345.164
31,5080.045121597697,309.05,2019-12-16,Summer,0.2680683311432326,5251.126
29,5079.824933380578,240.41,2020-01-21,Summer,0.7135348226018396,5124.366
17,5079.4441184328025,297.74,2019-12-16,Summer,0.13797634691195795,5246.422
18,5079.253207127483,212.52,2020-01-21,Summer,0.03153745072273324,5173.344
23,5077.786508107386,252.35,2019-12-16,Summer,0.38896189224704336,5216.818
27,5077.015975663603,299.06,2020-01-21,Summer,0.442838370565046,5130.404
28,5075.344809377859,240.13,2020-01-21,Summer,0.442838370565046,5122.466
24,5069.298207556475,80.15,2020-02-17,Summer,0.3298291721419185,5300.854
19,5068.23734069401,115.41,2020-01-15,Summer,0.24704336399474378,5115.432
18,5065.454461501434,300.56,2019-12-16,Summer,0.13797634691195795,5253.732
37,5064.436969725686,116.45,2019-12-12,Summer,0.35742444152431013,5165.736
20,5059.94545450188,300.94,2019-12-16,Summer,0.266754270696452,5229.53
35,5058.938645140109,156.8,2020-01-20,Summer,0.7135348226018396,5257.698
35,5057.0928283087105,115.55,2020-02-17,Summer,0.4954007884362681,5359.426
31,5054.115896100184,237.87,2019-12-12,Summer,0.8909329829172141,5191.996
34,5052.861712423805,130.56,2020-02-14,Summer,0.46649145860709595,5221.634
38,5048.041827604402,159.18,2020-01-20,Summer,0.5045992115637319,5184.988
17,5047.065968326183,280.29,2019-12-09,Summer,0.2036793692509855,5208.69
31,5044.237188542594,175.37,2019-12-11,Summer,0.7674113009198422,5169.57
18,5042.126269166611,113.41,2020-01-15,Summer,0.08672798948751642,5112.386
34,5041.439879431603,160.41,2020-01-20,Summer,0.8607095926412615,5245.24
22,5040.587770767352,232.14,2019-12-12,Summer,0.3823915900131406,5159.54
28,5040.389523217343,254.23,2020-02-14,Summer,0.4888304862023653,5144.348
31,5035.0588059641605,284.86,2020-02-14,Summer,0.5847568988173456,5172.814
19,5034.943216084137,300.94,2019-12-16,Summer,0.266754270696452,5247.916
28,5034.109941593649,306.81,2020-02-12,Summer,0.8475689881734558,5145.282
32,5033.847165066827,420.9,2020-01-21,Summer,0.8817345597897502,5226.94
38,5031.969747178724,82.57,2020-02-17,Summer,0.342969776609724,5354.924
20,5031.708276225146,113.4,2020-01-15,Summer,0.24704336399474378,5080.834
27,5026.727838803728,291.83,2019-12-12,Summer,0.8843626806833115,5180.134
30,5026.188267222436,243.27,2019-12-16,Summer,0.328515111695138,5221.954
29,5024.599913011557,288.7,2020-02-14,Summer,0.5571616294349541,5149.314
27,5022.873983849911,301.22,2020-02-14,Summer,0.4888304862023653,5152.056
31,5017.076273720398,227.2,2020-01-28,Summer,0.5637319316688567,5341.944
23,5016.46465429875,272.63,2019-12-12,Summer,0.6517739816031537,5149.534
32,5016.3710347806555,351.47,2020-01-28,Summer,0.5637319316688567,5394.098
37,5015.649026880148,117.77,2019-12-11,Summer,0.5742444152431012,5124.082
20,5014.457525970995,94.8,2019-12-13,Summer,0.3508541392904073,5220.676
24,5013.777817704732,235.66,2019-12-16,Summer,0.38896189224704336,5209.622
33,5012.34528325642,159.8,2020-01-20,Summer,0.8607095926412615,5208.902
18,5011.718125019836,87.38,2020-02-24,Summer,0.027595269382391593,5032.376
37,5010.473777920594,256.57,2020-01-21,Summer,0.4967148488830486,5133.628
30,5009.487273452362,296.92,2020-02-14,Summer,0.5571616294349541,5160.074
30,5008.807035284839,250.58,2019-12-12,Summer,0.721419185282523,5138.636
16,5008.114335326562,154.55,2020-01-21,Summer,0.002628120893561104,5040.386
22,5006.890166055259,118.68,2019-12-13,Summer,0.5124835742444153,5210.986
19,5006.8219202959845,103.91,2020-02-04,Summer,0.20367936925098554,5270.728
17,5004.835997852792,99.73,2020-02-14,Summer,0.03153745072273324,5185.268
36,5004.703772380789,332.67,2019-12-16,Summer,0.3219448094612352,5330.688
23,5000.560174845322,118.65,2019-12-13,Summer,0.507227332457293,5199.246
35,4998.4749851525,114.42,2020-02-14,Summer,0.3350854139290407,5185.912
23,4997.7427657027765,74.73,2020-02-17,Summer,0.3298291721419185,5278.76
18,4996.886154245257,231.61,2019-12-12,Summer,0.12614980289093297,5199.62
37,4996.676585974256,154.48,2020-02-20,Summer,0.42312746386333766,5283.868
29,4995.439112850676,307.46,2020-02-12,Summer,0.8396846254927727,5150.812
26,4993.845361869529,305.11,2020-02-12,Summer,0.683311432325887,5130.592
21,4992.470691858719,113.4,2020-01-15,Summer,0.4980289093298292,5054.084
19,4992.398963157691,222.84,2019-12-12,Summer,0.25624178712220763,5191.704
32,4992.395733219545,217.69,2020-01-20,Summer,0.9211563731931668,5178.12
36,4992.204129705411,299.52,2020-02-13,Summer,0.6806833114323259,5349.482
24,4992.058787208205,186.45,2019-12-09,Summer,0.7069645203679369,5069.468
21,4992.026654919629,231.87,2019-12-12,Summer,0.3823915900131406,5159.6
28,4991.582999884423,169.26,2019-12-11,Summer,0.8948751642575559,5081.946
23,4991.474273927366,188.16,2019-12-09,Summer,0.7069645203679369,5091.814
16,4990.0680641598765,262.19,2020-02-12,Summer,0.001314060446780552,5151.98
16,4987.594720879697,117.85,2019-12-16,Summer,0.035479632063074903,5161.858
29,4985.328992436885,168.45,2019-12-11,Summer,0.9461235216819973,5087.804
24,4984.749380931554,161.04,2020-01-28,Summer,0.49671484888304857,5265.702
22,4983.592367045713,194.95,2019-12-02,Summer,0.4415243101182655,5169.85
24,4983.015776013087,272.44,2019-12-12,Summer,0.6517739816031537,5152.37
29,4982.729655510793,291.53,2019-12-12,Summer,0.721419185282523,5122.87
28,4981.805548348417,291.51,2019-12-12,Summer,0.8843626806833115,5131.668
38,4980.306127484796,93.94,2019-12-12,Summer,0.35742444152431013,5131.08
15,4980.107297552577,85.61,2020-02-18,Summer,0.001314060446780552,5091.056
22,4978.430969065135,104.25,2020-01-15,Summer,0.4980289093298292,5056.544
23,4977.017188494796,139.29,2020-01-20,Summer,0.48751642575558474,5080.23
24,4976.4344727243115,123.3,2019-12-13,Summer,0.507227332457293,5194.312
17,4975.393782675523,188.53,2019-12-12,Summer,0.12614980289093297,5221.716
20,4975.253480742098,103.84,2020-02-04,Summer,0.20367936925098554,5255.422
30,4974.386319474446,172.22,2019-12-11,Summer,0.9461235216819973,5105.802
27,4973.439125174474,193.5,2020-01-28,Summer,0.4756898817345598,5275.478
22,4973.2573594975065,139.06,2020-01-20,Summer,0.35873850197109064,5075.862
20,4972.958581807249,224.22,2019-12-12,Summer,0.25624178712220763,5180.952
18,4972.805706603652,161.57,2019-12-09,Summer,0.2036793692509855,5168.114
16,4972.771291535974,224.49,2019-12-09,Summer,0.04599211563731931,5163.236
38,4972.525054542149,137.52,2020-02-20,Summer,0.42312746386333766,5238.91
31,4971.987217143839,192.64,2020-01-20,Summer,0.9211563731931668,5150.392
17,4970.842829040862,62.32,2020-02-04,Summer,0.09592641261498028,5248.128
21,4970.371095833279,243.6,2019-12-02,Summer,0.4415243101182655,5173.86
38,4970.1033306153595,207.21,2020-01-21,Summer,0.4967148488830486,5096.768
26,4968.862510214643,291.58,2019-12-12,Summer,0.8278580814717477,5117.512
28,4967.41014760751,194.85,2020-01-28,Summer,0.4756898817345598,5266.974
38,4966.895013151397,88.4,2019-12-11,Summer,0.5742444152431012,5075.676
24,4965.8410689669545,125.57,2020-01-20,Summer,0.48751642575558474,5074.156
21,4965.1285678449385,95.87,2019-12-13,Summer,0.5124835742444153,5173.472
25,4964.54669041625,139.29,2020-01-20,Summer,0.6846254927726675,5062.452
25,4961.439103620533,160.65,2020-01-28,Summer,0.545335085413929,5252.61
18,4961.109736170668,100.32,2020-02-14,Summer,0.03153745072273324,5142.264
23,4960.602362548622,244.42,2019-12-02,Summer,0.48357424441524305,5156.244
20,4960.056327025545,229.95,2019-12-09,Summer,0.35873850197109064,5113.276
19,4957.540439606891,86.23,2020-02-24,Summer,0.2102496714848883,5010.234
39,4957.075882090414,95.44,2020-02-18,Summer,0.2509855453350854,5218.998
25,4955.551710254956,291.59,2019-12-12,Summer,0.8278580814717477,5128.208
29,4953.9803942204335,227.17,2020-01-28,Summer,0.35873850197109064,5266.388
30,4953.875256885896,156.61,2020-01-20,Summer,0.9329829172141918,5105.536
17,4951.1660604456965,263.53,2020-02-12,Summer,0.04467805519053877,5198.028
30,4950.463439159427,195.85,2020-01-28,Summer,0.35873850197109064,5303.38
21,4949.648851170252,153.91,2020-01-20,Summer,0.35873850197109064,5067.192
19,4949.1135001051125,183.15,2019-12-09,Summer,0.35873850197109064,5149.876
18,4947.927476429827,82.5,2020-02-04,Summer,0.09592641261498028,5221.952
