Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
16,6465.093830303206,730.62,2019-08-19,Winter,0.0,6482.554
17,6407.486694197794,457.83,2019-08-19,Winter,0.03416557161629435,6438.134
17,6322.0244351547135,217.32,2019-06-27,Winter,0.002628120893561104,6326.482
16,6313.315271195111,134.66,2019-06-26,Winter,0.0,6326.576
17,6305.1670445367545,171.13,2019-06-26,Winter,0.003942181340341655,6323.012
36,6301.86380107557,207.79,2019-06-19,Winter,0.0657030223390276,6322.426
16,6289.250524901279,466.64,2019-06-19,Winter,0.0,6333.768
16,6283.37269841457,218.86,2019-06-27,Winter,0.0,6287.422
37,6276.756626156657,124.91,2019-06-25,Winter,0.001314060446780552,6277.328
17,6270.174067307125,729.77,2019-06-19,Winter,0.005256241787122208,6307.45
37,6256.4738882830825,175.08,2019-06-19,Winter,0.001314060446780552,6322.25
37,6250.160022998166,169.72,2019-08-01,Winter,0.01445466491458607,6352.264
36,6249.786,114.83,2019-06-25,Winter,0.0657030223390276,6249.786
38,6247.114129492891,154.61,2019-08-01,Winter,0.01445466491458607,6339.494
18,6246.178315215764,216.93,2019-06-27,Winter,0.002628120893561104,6266.076
38,6245.323108386869,111.77,2019-06-25,Winter,0.001314060446780552,6250.54
15,6237.329636644811,222.85,2019-08-19,Winter,0.0,6242.79
18,6220.220223601951,130.86,2019-06-26,Winter,0.003942181340341655,6257.352
38,6210.0351360077675,333.57,2019-08-05,Winter,0.01445466491458607,6493.76
18,6206.497397321633,276.19,2019-08-19,Winter,0.03416557161629435,6307.768
15,6198.234401013732,169.22,2019-06-27,Winter,0.0,6200.346
19,6195.710554386617,223.27,2019-06-27,Winter,0.06307490144546649,6219.312
38,6190.230578486495,150.28,2019-06-19,Winter,0.001314060446780552,6288.714
15,6187.615740119654,204.33,2019-06-26,Winter,0.0,6199.582
18,6187.252192727058,368.15,2019-06-19,Winter,0.005256241787122208,6211.312
15,6178.583145091148,466.02,2019-06-19,Winter,0.0,6214.884
39,6172.326227008258,169.81,2019-08-01,Winter,0.0,6290.73
39,6161.497522838451,130.13,2019-06-25,Winter,0.0,6167.41
37,6160.902562221578,130.35,2019-06-17,Winter,0.0,6262.532
16,6160.703005727737,485.14,2019-08-15,Winter,0.0,6193.19
36,6154.335597100254,135.43,2019-07-08,Winter,0.0328515111695138,6285.528
37,6153.485448927067,335.04,2019-08-05,Winter,0.01445466491458607,6534.354
36,6152.597717139981,135.56,2019-06-17,Winter,0.03942181340341656,6286.402
19,6151.494625095775,386.9,2019-06-19,Winter,0.07490144546649145,6174.362
17,6148.593607129871,220.34,2019-07-25,Winter,0.006570302233902759,6283.356
16,6147.611597870218,218.14,2019-07-25,Winter,0.0,6278.742
37,6141.089804384806,130.38,2019-06-26,Winter,0.001314060446780552,6285.596
36,6138.902640693905,198.86,2019-08-01,Winter,0.11169513797634692,6298.072
36,6130.1188376827085,140.79,2019-06-26,Winter,0.0735873850197109,6283.45
16,6128.495145723049,275.27,2019-07-22,Winter,0.0,6140.688
37,6128.367583073024,135.45,2019-07-08,Winter,0.001314060446780552,6249.946
39,6121.362963988919,101.39,2019-07-08,Winter,0.0,6163.98
17,6120.668967521926,156.97,2019-06-28,Winter,0.003942181340341655,6287.864
38,6119.106358254854,108.46,2019-06-27,Winter,0.001314060446780552,6222.148
36,6111.74524437432,330.95,2019-06-07,Winter,0.04862023653088042,6153.538
37,6111.218662082286,177.71,2019-06-07,Winter,0.001314060446780552,6141.816
