Trading_period,Load,Price,Trading_date,Season,Solar,Load_raw
37,5891.716723939198,337.77,2019-05-01,Autumn,0.017082785808147174,5918.736
38,5864.985475267922,165.96,2019-05-01,Autumn,0.017082785808147174,5895.724
37,5832.152,338.11,2019-05-23,Autumn,0.002628120893561104,5832.152
17,5821.501325212856,544.66,2019-05-01,Autumn,0.035479632063074903,5919.3
16,5810.870927216048,522.24,2019-05-01,Autumn,0.001314060446780552,5940.876
36,5804.262125369415,336.23,2019-05-23,Autumn,0.06176084099868594,5804.756
38,5803.632,311.17,2019-05-23,Autumn,0.002628120893561104,5803.632
37,5783.731571874816,614.29,2019-05-17,Autumn,0.003942181340341655,5783.74
36,5783.568266419826,437.82,2019-05-20,Autumn,0.06307490144546649,5970.016
36,5757.975411100355,324.15,2019-05-17,Autumn,0.07095926412614981,5765.03
16,5755.509551489846,467.24,2019-05-24,Autumn,0.0,5812.726
39,5731.90989083268,152.57,2019-05-01,Autumn,0.001314060446780552,5777.286
17,5729.135819392617,308.52,2019-05-24,Autumn,0.011826544021024966,5802.834
38,5727.462,322.3,2019-05-17,Autumn,0.003942181340341655,5727.462
37,5686.647327675003,157.56,2019-05-20,Autumn,0.002628120893561104,5972.96
36,5684.356594682208,170.94,2019-05-01,Autumn,0.14848883048620234,5697.19
39,5681.622,244.48,2019-05-23,Autumn,0.0,5681.622
15,5658.1294220384725,369.35,2019-05-01,Autumn,0.001314060446780552,5802.434
18,5653.638006848236,366.03,2019-05-01,Autumn,0.035479632063074903,5768.366
16,5650.440448342034,350.93,2019-05-03,Autumn,0.001314060446780552,5702.422
37,5635.80023177242,178.59,2019-05-08,Autumn,0.006570302233902759,5738.968
36,5626.924461471987,135.8,2019-05-28,Autumn,0.040735873850197106,5797.864
37,5624.665601396591,140.71,2019-05-02,Autumn,0.01445466491458607,5748.922
38,5613.700620744766,140.12,2019-05-02,Autumn,0.01445466491458607,5727.484
39,5603.018,239.25,2019-05-17,Autumn,0.0,5603.018
18,5589.254832988332,244.17,2019-05-24,Autumn,0.011826544021024966,5702.408
40,5587.145500337961,145.49,2019-05-01,Autumn,0.001314060446780552,5639.844
16,5569.963487820569,218.02,2019-05-06,Autumn,0.001314060446780552,5584.93
38,5567.558101682679,151.46,2019-05-08,Autumn,0.006570302233902759,5659.218
36,5565.534348017278,140.94,2019-05-27,Autumn,0.04993429697766097,5952.94
38,5559.196367697817,147.1,2019-05-20,Autumn,0.002628120893561104,5904.906
17,5558.359548096083,347.97,2019-05-06,Autumn,0.013140604467805518,5635.994
17,5553.5876041458405,294.27,2019-05-03,Autumn,0.026281208935611037,5706.822
40,5550.584,415.74,2019-05-23,Autumn,0.0,5550.584
36,5545.32077970409,172.22,2019-05-08,Autumn,0.08147174770039421,5637.018
35,5531.415792700993,206.06,2019-05-20,Autumn,0.06307490144546649,5658.58
37,5527.018941716583,204.94,2019-05-07,Autumn,0.002628120893561104,5796.71
37,5521.811843810481,952.42,2019-05-13,Autumn,0.006570302233902759,5814.73
36,5517.6423805021495,188.39,2019-05-07,Autumn,0.035479632063074903,5705.238
37,5515.287454379989,130.56,2019-05-27,Autumn,0.001314060446780552,5905.53
41,5513.441305457933,201.96,2019-05-01,Autumn,0.001314060446780552,5558.678
17,5511.695612893453,172.32,2019-05-08,Autumn,0.01576872536136662,5553.352
15,5498.726041714142,221.21,2019-05-24,Autumn,0.0,5543.99
39,5490.8847947506465,135.76,2019-05-02,Autumn,0.001314060446780552,5594.502
15,5490.092368791509,241.32,2019-05-03,Autumn,0.001314060446780552,5503.494
37,5489.998,197.01,2019-05-03,Autumn,0.01445466491458607,5489.998
39,5486.665847217221,147.45,2019-05-20,Autumn,0.0,5764.294
38,5485.663686342892,250.21,2019-05-13,Autumn,0.006570302233902759,5743.23
40,5481.68,148.32,2019-05-17,Autumn,0.0,5481.68
35,5481.458,332.25,2019-05-23,Autumn,0.06176084099868594,5481.458
17,5475.217749566152,132.15,2019-05-17,Autumn,0.013140604467805518,5691.876
38,5471.4390650780415,307.5,2019-04-11,Autumn,0.015768725361366625,5556.558
38,5460.06,196.89,2019-05-03,Autumn,0.01445466491458607,5460.06
16,5453.073605040639,135.33,2019-05-08,Autumn,0.0,5523.46
19,5446.265250939417,288.72,2019-05-01,Autumn,0.164257555847569,5577.554
36,5441.513273920793,337.82,2019-05-13,Autumn,0.09986859395532194,5747.098
38,5441.249146416925,197.51,2019-05-07,Autumn,0.002628120893561104,5739.146
36,5437.719388094733,140.35,2019-05-02,Autumn,0.11432325886990799,5575.782
41,5436.769892968704,204.77,2019-05-23,Autumn,0.0,5436.772
38,5436.66254456931,84.61,2019-05-27,Autumn,0.001314060446780552,5822.41
18,5436.092202382507,137.22,2019-05-23,Autumn,0.018396846254927726,5619.42
37,5434.768768189122,138.08,2019-05-19,Autumn,0.001314060446780552,5518.866
35,5433.860402091526,173.95,2019-05-17,Autumn,0.07095926412614981,5435.95
37,5425.935473778272,178.17,2019-05-06,Autumn,0.003942181340341655,5823.662
16,5425.455221782857,134.93,2019-05-17,Autumn,0.0,5649.668
17,5425.036914379294,141.88,2019-05-23,Autumn,0.018396846254927726,5714.722
18,5424.264806907095,217.44,2019-05-06,Autumn,0.013140604467805518,5532.266
39,5413.899103778029,178.9,2019-05-13,Autumn,0.0,5596.956
16,5413.60427428627,291.24,2019-05-07,Autumn,0.001314060446780552,5599.912
38,5412.725467000325,181.92,2019-04-16,Autumn,0.05387647831800263,5702.942
36,5411.359768623175,130.81,2019-05-31,Autumn,0.040735873850197106,5771.368
37,5410.917160286987,344.04,2019-04-11,Autumn,0.015768725361366625,5505.08
40,5403.936414918343,144.74,2019-05-20,Autumn,0.0,5620.63
38,5396.453271635405,133.4,2019-05-19,Autumn,0.001314060446780552,5452.582
18,5388.230389396659,138.53,2019-05-08,Autumn,0.01576872536136662,5424.34
18,5386.5681581400995,140.0,2019-05-17,Autumn,0.013140604467805518,5622.806
19,5386.4424611903905,171.53,2019-05-24,Autumn,0.09198423127463862,5561.742
37,5380.239158819202,197.35,2019-04-16,Autumn,0.05387647831800263,5620.278
16,5379.018266448702,142.27,2019-05-23,Autumn,0.0,5708.318
39,5378.510593632513,137.82,2019-05-08,Autumn,0.0,5472.814
39,5374.418344592246,180.09,2019-04-16,Autumn,0.001314060446780552,5567.51
42,5370.849080682193,257.13,2019-05-01,Autumn,0.001314060446780552,5418.316
40,5364.789373008003,130.3,2019-05-02,Autumn,0.001314060446780552,5480.086
17,5364.594163965345,237.72,2019-04-16,Autumn,0.04862023653088042,5440.54
17,5362.4404422651205,168.78,2019-05-07,Autumn,0.02102496714848883,5588.124
36,5358.574,167.37,2019-05-03,Autumn,0.13797634691195793,5358.574
35,5356.2309820302,158.57,2019-05-28,Autumn,0.040735873850197106,5593.294
41,5355.485789827312,167.74,2019-05-17,Autumn,0.0,5356.238
19,5351.514682666954,141.22,2019-05-17,Autumn,0.10512483574244415,5538.586
20,5345.4008917348865,154.02,2019-05-17,Autumn,0.10512483574244415,5498.128
15,5345.316595155302,206.57,2019-05-06,Autumn,0.001314060446780552,5352.51
36,5341.910248833078,143.73,2019-05-19,Autumn,0.05387647831800263,5444.314
38,5336.586183268248,159.68,2019-05-06,Autumn,0.003942181340341655,5728.882
41,5331.662954539259,151.96,2019-05-20,Autumn,0.0,5475.328
41,5331.042428446238,357.49,2019-04-30,Autumn,0.001314060446780552,5551.928
19,5330.300577469685,136.52,2019-05-23,Autumn,0.10249671484888304,5495.632
39,5326.5,163.63,2019-05-03,Autumn,0.001314060446780552,5326.5
16,5318.8597705247485,171.4,2019-04-16,Autumn,0.001314060446780552,5387.046
38,5318.20509592678,145.07,2019-04-23,Autumn,0.028909329829172145,5573.11
37,5310.313392944193,133.18,2019-04-24,Autumn,0.006570302233902759,5416.992
18,5310.215963929982,203.2,2019-04-16,Autumn,0.04862023653088042,5387.78
39,5300.300588540903,140.33,2019-05-07,Autumn,0.0,5591.052
39,5297.360061270955,141.54,2019-05-19,Autumn,0.0,5310.456
35,5296.992422247148,134.93,2019-05-27,Autumn,0.04993429697766097,5660.922
15,5293.792244870469,146.35,2019-05-17,Autumn,0.0,5480.066
35,5290.65212160965,133.71,2019-05-01,Autumn,0.14848883048620234,5304.506
15,5290.530949500043,188.84,2019-05-07,Autumn,0.001314060446780552,5402.602
39,5289.346185328796,161.67,2019-04-30,Autumn,0.001314060446780552,5787.184
17,5288.315936887646,188.58,2019-04-17,Autumn,0.056504599211563734,5479.188
17,5286.852291717109,312.94,2019-04-04,Autumn,0.002628120893561104,5464.84
39,5283.534812413941,178.97,2019-04-11,Autumn,0.001314060446780552,5434.96
16,5281.112877177653,298.57,2019-04-04,Autumn,0.001314060446780552,5485.582
36,5281.083828562639,167.92,2019-05-06,Autumn,0.0657030223390276,5752.776
19,5280.027371747459,181.47,2019-05-08,Autumn,0.06307490144546649,5323.88
40,5276.500357917804,139.1,2019-05-13,Autumn,0.0,5417.832
42,5268.430550925151,161.74,2019-05-23,Autumn,0.0,5287.416
16,5267.65772601621,191.16,2019-04-17,Autumn,0.001314060446780552,5474.118
17,5266.847377025992,252.47,2019-03-08,Autumn,0.006570302233902759,5281.388
38,5266.327685995817,107.19,2019-04-24,Autumn,0.006570302233902759,5361.072
35,5265.677125213119,127.57,2019-05-31,Autumn,0.040735873850197106,5547.534
38,5263.3075497931,196.57,2019-04-15,Autumn,0.06044678055190539,5679.596
18,5263.061876561721,169.14,2019-04-17,Autumn,0.056504599211563734,5422.96
40,5257.8634761250005,134.26,2019-05-08,Autumn,0.0,5361.382
20,5255.840481495239,144.21,2019-05-01,Autumn,0.164257555847569,5381.834
40,5254.491369062321,186.31,2019-04-30,Autumn,0.001314060446780552,5639.024
16,5252.000538927031,169.33,2019-04-02,Autumn,0.001314060446780552,5295.52
18,5251.089557127236,167.65,2019-05-03,Autumn,0.026281208935611037,5504.356
37,5250.252677099653,186.59,2019-05-05,Autumn,0.00788436268068331,5396.524
17,5250.134871849587,152.78,2019-04-12,Autumn,0.047306176084099864,5361.768
37,5249.457764563296,144.4,2019-04-23,Autumn,0.028909329829172145,5615.396
19,5249.237116138291,201.77,2019-05-06,Autumn,0.05781865965834428,5431.724
40,5247.900785466344,175.15,2019-04-16,Autumn,0.001314060446780552,5399.806
41,5239.931066002103,134.33,2019-05-02,Autumn,0.001314060446780552,5378.868
39,5239.864883941181,67.36,2019-05-27,Autumn,0.0,5670.724
17,5236.787148204933,159.11,2019-04-02,Autumn,0.003942181340341655,5335.59
17,5236.678314610844,204.95,2019-04-18,Autumn,0.04599211563731932,5503.55
16,5235.870706010242,180.8,2019-05-02,Autumn,0.001314060446780552,5825.14
42,5234.090146755467,167.69,2019-05-17,Autumn,0.0,5239.56
