POC,NWK_Code,GENERATION_TYPE,TRADER,UNIT_MEASURE,FLOW_DIRECTION,STATUS,TRADING_DATE,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ABY0111,ALPE,GN,TPNZ,kWh,I,F,01/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,1182,1255,1309,1347,1448,1351,1437,1432,1410,1433,1447,1451,1517,1517,1463,1397,1383,1400,1440,1490,1490,1448,1483,1449,1431,1353,1386,1412,1427,1475,35,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,02/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,929,1194,1085,1112,1186,1186,1299,1203,1338,1366,1388,1393,1440,1422,1483,1495,1465,1395,1345,1362,1333,1367,1338,1294,1302,1307,1316,1274,1291,1323,1348,1302,1305,25,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,03/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,945,1292,1161,1057,1121,1259,1252,1525,1448,1543,1577,1593,1596,1639,1664,1693,1714,1679,1583,1555,1590,1600,1571,1602,1527,1526,1513,1468,1425,592,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,04/04/2019,1144,1714,1749,1756,1780,1820,1842,1856,1855,1830,1750,1622,1497,1332,1186,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,715,0,393,1489,1457,1451,1443,1419,1387,1396,1433,1462,1493,1508,1545,1641,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,05/04/2019,1672,1743,1761,1778,1803,1825,1845,1888,1872,1860,1766,1670,1527,1422,1327,1168,1178,1279,1279,1354,31,0,0,0,0,0,0,0,0,0,1020,1424,1457,1480,1466,1444,1412,1435,1400,1388,1366,1398,1415,1459,1531,1537,1604,1663,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,06/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,1339,1254,1269,1288,1375,1337,1453,1542,1571,1558,1569,1637,1710,1696,1655,1618,1611,1638,1676,1701,1708,1640,1632,1593,1578,1531,1562,790,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,07/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,1281,1688,1573,1450,1344,1287,1194,1260,1184,1249,1371,1375,1408,1451,1428,1489,1529,1545,1551,1493,1482,1510,1595,1606,1514,1453,1436,1394,1330,1360,1381,1410,1458,31,0,0,0,0
ABY0111,ALPE,GN,TPNZ,kWh,I,F,08/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,1023,1290,1193,1183,1178,1250,1207,1329,1409,1456,1516,1529,1534,1536,1554,1572,1533,1524,1507,1501,1553,1587,1597,1529,1444,1400,1348,1372,1408,1466,1495,1574,36,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,09/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,970,1308,1319,1317,1393,1315,1436,1489,1509,1533,1544,1570,1601,1581,1602,1594,1569,1565,1581,1607,1648,1642,1598,1467,1420,1396,1444,1464,1490,1536,1612,1696,1157,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,10/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,1398,1401,1366,1379,1307,1435,1474,1512,1586,1602,1607,1593,1607,1633,1656,1604,1607,1600,1641,1614,1569,1504,1444,1445,1409,616,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,11/04/2019,0,0,0,0,0,0,0,0,0,0,0,1239,1635,1474,1399,1395,1411,1506,1421,1506,782,0,0,1194,1686,1728,1719,1733,1723,1676,1697,1705,1727,1758,1712,1624,1468,1516,1506,1550,1566,1601,1623,1684,41,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,12/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018,1450,1440,1443,1327,1447,1485,1533,1597,1617,1626,1688,1698,1688,1690,1646,1626,1661,1683,1748,1675,1620,1324,0,0,0,0,0,0,0,1269,1793,1713,40,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,13/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,1546,1500,1462,1518,1397,1473,1533,1603,1620,1656,1677,1706,37,0,0,0,0,0,0,0,1276,1695,1588,1574,1493,1516,1541,32,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,14/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,1408,1409,1270,1373,1450,1534,1594,1607,1632,1674,1712,1737,1710,1643,1585,1615,1659,1677,1591,1512,1432,1461,35,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,15/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,1457,1467,1520,1557,1505,1620,1690,1711,1726,1745,1769,1771,1775,1769,1766,1710,1716,1698,1781,1813,1702,1608,781,0,0,0,0,1383,31,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,16/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,959,1382,1363,1345,1361,1296,1392,1413,1449,1464,1487,1540,1569,1585,1631,1624,1609,1613,1679,1753,1719,1643,1549,1466,1457,32,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,17/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,1447,1414,1408,1392,1275,1362,1383,1406,1495,1525,1548,1575,1613,1637,1624,1604,1581,1608,1654,1652,1617,1570,1439,1097,0,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,18/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,1369,1344,1277,1226,1102,1161,1228,1283,1317,1307,1312,1324,1324,1364,1328,1311,1306,1340,1441,1458,1444,1371,1263,23,0,0,0,903,1351,1395,27,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,19/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,1342,1270,1250,1151,1176,1176,1250,1318,1313,1362,1419,1405,1415,1443,1437,1542,1527,1619,1635,1585,1466,1325,791,0,0,0,0,0,0,0,0,774,1518,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,20/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,1391,1344,1279,1258,1120,1198,1254,1346,1396,1438,1449,1483,1474,1503,1529,1471,1457,28,0,0,1020,1368,1280,1267,25,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,21/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,1109,1550,1468,1415,1361,1307,1102,1103,1179,1228,1295,1300,1316,1287,1301,1337,1340,1303,1291,1281,1368,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,22/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903,1366,1373,1280,1388,1473,1538,1581,1655,1704,1737,1721,33,0,54,1666,1695,1761,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,23/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,1652,1731,1737,1705,1594,1466,1440,1407,1459,27,0,0,0,0,0,0,0,,
ABY0111,ALPE,GN,TPNZ,kWh,I,F,24/04/2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,1290,1382,1483,1601,1649,1647,1682,1681,1732,1706,1691,1671,1685,1721,162,0,0,1028,1534,30,0,0,0,0,0,0,0,0,0,,
