"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"1","Pukekohe Ews","20160301:0000",0,1,"G","H"
"2","Pukekohe Ews","20160301:0100",0,1,"G","H"
"3","Pukekohe Ews","20160301:0200",0,1,"G","H"
"4","Pukekohe Ews","20160301:0300",0,1,"G","H"
"5","Pukekohe Ews","20160301:0400",0,1,"G","H"
"6","Pukekohe Ews","20160301:0500",0,1,"G","H"
"7","Pukekohe Ews","20160301:0600",0,1,"G","H"
"8","Pukekohe Ews","20160301:0700",0,1,"G","H"
"9","Pukekohe Ews","20160301:0800",0.04,1,"G","H"
"10","Pukekohe Ews","20160301:0900",0.21,1,"G","H"
"11","Pukekohe Ews","20160301:1000",0.83,1,"G","H"
"12","Pukekohe Ews","20160301:1100",1.4,1,"G","H"
"13","Pukekohe Ews","20160301:1200",2.15,1,"G","H"
"14","Pukekohe Ews","20160301:1300",1.62,1,"G","H"
"15","Pukekohe Ews","20160301:1400",2.39,1,"G","H"
"16","Pukekohe Ews","20160301:1500",2.01,1,"G","H"
"17","Pukekohe Ews","20160301:1600",1.59,1,"G","H"
"18","Pukekohe Ews","20160301:1700",1.26,1,"G","H"
"19","Pukekohe Ews","20160301:1800",0.55,1,"G","H"
"20","Pukekohe Ews","20160301:1900",0.38,1,"G","H"
"21","Pukekohe Ews","20160301:2000",0.16,1,"G","H"
"22","Pukekohe Ews","20160301:2100",0,1,"G","H"
"23","Pukekohe Ews","20160301:2200",0,1,"G","H"
"24","Pukekohe Ews","20160301:2300",0,1,"G","H"
"25","Pukekohe Ews","20160302:0000",0,1,"G","H"
"26","Pukekohe Ews","20160302:0100",0,1,"G","H"
"27","Pukekohe Ews","20160302:0200",0,1,"G","H"
"28","Pukekohe Ews","20160302:0300",0,1,"G","H"
"29","Pukekohe Ews","20160302:0400",0,1,"G","H"
"30","Pukekohe Ews","20160302:0500",0,1,"G","H"
"31","Pukekohe Ews","20160302:0600",0,1,"G","H"
"32","Pukekohe Ews","20160302:0700",0,1,"G","H"
"33","Pukekohe Ews","20160302:0800",0.03,1,"G","H"
"34","Pukekohe Ews","20160302:0900",0.38,1,"G","H"
"35","Pukekohe Ews","20160302:1000",1.57,1,"G","H"
"36","Pukekohe Ews","20160302:1100",2.19,1,"G","H"
"37","Pukekohe Ews","20160302:1200",2.13,1,"G","H"
"38","Pukekohe Ews","20160302:1300",2.11,1,"G","H"
"39","Pukekohe Ews","20160302:1400",2.89,1,"G","H"
"40","Pukekohe Ews","20160302:1500",2.12,1,"G","H"
"41","Pukekohe Ews","20160302:1600",2.01,1,"G","H"
"42","Pukekohe Ews","20160302:1700",2.05,1,"G","H"
"43","Pukekohe Ews","20160302:1800",1.61,1,"G","H"
"44","Pukekohe Ews","20160302:1900",0.9,1,"G","H"
"45","Pukekohe Ews","20160302:2000",0.15,1,"G","H"
"46","Pukekohe Ews","20160302:2100",0,1,"G","H"
"47","Pukekohe Ews","20160302:2200",0,1,"G","H"
"48","Pukekohe Ews","20160302:2300",0,1,"G","H"
"49","Pukekohe Ews","20160303:0000",0,1,"G","H"
"50","Pukekohe Ews","20160303:0100",0,1,"G","H"
"51","Pukekohe Ews","20160303:0200",0,1,"G","H"
"52","Pukekohe Ews","20160303:0300",0,1,"G","H"
"53","Pukekohe Ews","20160303:0400",0,1,"G","H"
"54","Pukekohe Ews","20160303:0500",0,1,"G","H"
"55","Pukekohe Ews","20160303:0600",0,1,"G","H"
"56","Pukekohe Ews","20160303:0700",0,1,"G","H"
"57","Pukekohe Ews","20160303:0800",0.12,1,"G","H"
"58","Pukekohe Ews","20160303:0900",0.77,1,"G","H"
"59","Pukekohe Ews","20160303:1000",1.51,1,"G","H"
"60","Pukekohe Ews","20160303:1100",2.19,1,"G","H"
"61","Pukekohe Ews","20160303:1200",2.74,1,"G","H"
"62","Pukekohe Ews","20160303:1300",3.1,1,"G","H"
"63","Pukekohe Ews","20160303:1400",2.78,1,"G","H"
"64","Pukekohe Ews","20160303:1500",2.12,1,"G","H"
"65","Pukekohe Ews","20160303:1600",1.8,1,"G","H"
"66","Pukekohe Ews","20160303:1700",1.4,1,"G","H"
"67","Pukekohe Ews","20160303:1800",1.25,1,"G","H"
"68","Pukekohe Ews","20160303:1900",0.55,1,"G","H"
"69","Pukekohe Ews","20160303:2000",0.08,1,"G","H"
"70","Pukekohe Ews","20160303:2100",0,1,"G","H"
"71","Pukekohe Ews","20160303:2200",0,1,"G","H"
"72","Pukekohe Ews","20160303:2300",0,1,"G","H"
"73","Pukekohe Ews","20160304:0000",0,1,"G","H"
"74","Pukekohe Ews","20160304:0100",0,1,"G","H"
"75","Pukekohe Ews","20160304:0200",0,1,"G","H"
"76","Pukekohe Ews","20160304:0300",0,1,"G","H"
"77","Pukekohe Ews","20160304:0400",0,1,"G","H"
"78","Pukekohe Ews","20160304:0500",0,1,"G","H"
"79","Pukekohe Ews","20160304:0600",0,1,"G","H"
"80","Pukekohe Ews","20160304:0700",0,1,"G","H"
"81","Pukekohe Ews","20160304:0800",0.11,1,"G","H"
"82","Pukekohe Ews","20160304:0900",0.89,1,"G","H"
"83","Pukekohe Ews","20160304:1000",1.55,1,"G","H"
"84","Pukekohe Ews","20160304:1100",2.18,1,"G","H"
"85","Pukekohe Ews","20160304:1200",2.02,1,"G","H"
"86","Pukekohe Ews","20160304:1300",2.07,1,"G","H"
"87","Pukekohe Ews","20160304:1400",1.37,1,"G","H"
"88","Pukekohe Ews","20160304:1500",1.09,1,"G","H"
"89","Pukekohe Ews","20160304:1600",0.74,1,"G","H"
"90","Pukekohe Ews","20160304:1700",1.68,1,"G","H"
