"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"1","Christchurch Aero","20160301:0000",0,1,"G","H"
"2","Christchurch Aero","20160301:0100",0,1,"G","H"
"3","Christchurch Aero","20160301:0200",0,1,"G","H"
"4","Christchurch Aero","20160301:0300",0,1,"G","H"
"5","Christchurch Aero","20160301:0400",0,1,"G","H"
"6","Christchurch Aero","20160301:0500",0,1,"G","H"
"7","Christchurch Aero","20160301:0600",0,1,"G","H"
"8","Christchurch Aero","20160301:0700",0,1,"G","H"
"9","Christchurch Aero","20160301:0800",0.03,1,"G","H"
"10","Christchurch Aero","20160301:0900",0.32,1,"G","H"
"11","Christchurch Aero","20160301:1000",1.02,1,"G","H"
"12","Christchurch Aero","20160301:1100",1.66,1,"G","H"
"13","Christchurch Aero","20160301:1200",1.29,1,"G","H"
"14","Christchurch Aero","20160301:1300",1.76,1,"G","H"
"15","Christchurch Aero","20160301:1400",1.27,1,"G","H"
"16","Christchurch Aero","20160301:1500",1.05,1,"G","H"
"17","Christchurch Aero","20160301:1600",2.54,1,"G","H"
"18","Christchurch Aero","20160301:1700",1.27,1,"G","H"
"19","Christchurch Aero","20160301:1800",0.62,1,"G","H"
"20","Christchurch Aero","20160301:1900",0.35,1,"G","H"
"21","Christchurch Aero","20160301:2000",0.07,1,"G","H"
"22","Christchurch Aero","20160301:2100",0,1,"G","H"
"23","Christchurch Aero","20160301:2200",0,1,"G","H"
"24","Christchurch Aero","20160301:2300",0,1,"G","H"
"25","Christchurch Aero","20160302:0000",0,1,"G","H"
"26","Christchurch Aero","20160302:0100",0,1,"G","H"
"27","Christchurch Aero","20160302:0200",0,1,"G","H"
"28","Christchurch Aero","20160302:0300",0,1,"G","H"
"29","Christchurch Aero","20160302:0400",0,1,"G","H"
"30","Christchurch Aero","20160302:0500",0,1,"G","H"
"31","Christchurch Aero","20160302:0600",0,1,"G","H"
"32","Christchurch Aero","20160302:0700",0,1,"G","H"
"33","Christchurch Aero","20160302:0800",0,1,"G","H"
"34","Christchurch Aero","20160302:0900",0.1,1,"G","H"
"35","Christchurch Aero","20160302:1000",0.3,1,"G","H"
"36","Christchurch Aero","20160302:1100",1.06,1,"G","H"
"37","Christchurch Aero","20160302:1200",1.44,1,"G","H"
"38","Christchurch Aero","20160302:1300",2.12,1,"G","H"
"39","Christchurch Aero","20160302:1400",1.91,1,"G","H"
"40","Christchurch Aero","20160302:1500",1.45,1,"G","H"
"41","Christchurch Aero","20160302:1600",3.06,1,"G","H"
"42","Christchurch Aero","20160302:1700",2.19,1,"G","H"
"43","Christchurch Aero","20160302:1800",1.67,1,"G","H"
"44","Christchurch Aero","20160302:1900",1.08,1,"G","H"
